00000000	---0	---0 	 ---- False
00000001	---1	---1 	 ---- True
00000010	---2	---2 	 ---- False
00000011	---3	---0 	 ---- False
00000100	---4	---1 	 ---- True
00000101	---5	---2 	 ---- False
00000110	---6	---0 	 ---- False
00000111	---7	---1 	 ---- True
00001000	---8	---2 	 ---- False
00001001	---9	---0 	 ---- False
00001010	---10	---1 	 ---- True
00001011	---11	---2 	 ---- False
00001100	---12	---0 	 ---- False
00001101	---13	---1 	 ---- True
00001110	---14	---2 	 ---- False
00001111	---15	---0 	 ---- False
00010000	---16	---1 	 ---- True
00010001	---17	---2 	 ---- False
00010010	---18	---0 	 ---- False
00010011	---19	---1 	 ---- True
00010100	---20	---2 	 ---- False
00010101	---21	---0 	 ---- False
00010110	---22	---1 	 ---- True
00010111	---23	---2 	 ---- False
00011000	---24	---0 	 ---- False
00011001	---25	---1 	 ---- True
00011010	---26	---2 	 ---- False
00011011	---27	---0 	 ---- False
00011100	---28	---1 	 ---- True
00011101	---29	---2 	 ---- False
00011110	---30	---0 	 ---- False
00011111	---31	---1 	 ---- True
00100000	---32	---2 	 ---- False
00100001	---33	---0 	 ---- False
00100010	---34	---1 	 ---- True
00100011	---35	---2 	 ---- False
00100100	---36	---0 	 ---- False
00100101	---37	---1 	 ---- True
00100110	---38	---2 	 ---- False
00100111	---39	---0 	 ---- False
00101000	---40	---1 	 ---- True
00101001	---41	---2 	 ---- False
00101010	---42	---0 	 ---- False
00101011	---43	---1 	 ---- True
00101100	---44	---2 	 ---- False
00101101	---45	---0 	 ---- False
00101110	---46	---1 	 ---- True
00101111	---47	---2 	 ---- False
00110000	---48	---0 	 ---- False
00110001	---49	---1 	 ---- True
00110010	---50	---2 	 ---- False
00110011	---51	---0 	 ---- False
00110100	---52	---1 	 ---- True
00110101	---53	---2 	 ---- False
00110110	---54	---0 	 ---- False
00110111	---55	---1 	 ---- True
00111000	---56	---2 	 ---- False
00111001	---57	---0 	 ---- False
00111010	---58	---1 	 ---- True
00111011	---59	---2 	 ---- False
00111100	---60	---0 	 ---- False
00111101	---61	---1 	 ---- True
00111110	---62	---2 	 ---- False
00111111	---63	---0 	 ---- False
01000000	---64	---1 	 ---- True
01000001	---65	---2 	 ---- False
01000010	---66	---0 	 ---- False
01000011	---67	---1 	 ---- True
01000100	---68	---2 	 ---- False
01000101	---69	---0 	 ---- False
01000110	---70	---1 	 ---- True
01000111	---71	---2 	 ---- False
01001000	---72	---0 	 ---- False
01001001	---73	---1 	 ---- True
01001010	---74	---2 	 ---- False
01001011	---75	---0 	 ---- False
01001100	---76	---1 	 ---- True
01001101	---77	---2 	 ---- False
01001110	---78	---0 	 ---- False
01001111	---79	---1 	 ---- True
01010000	---80	---2 	 ---- False
01010001	---81	---0 	 ---- False
01010010	---82	---1 	 ---- True
01010011	---83	---2 	 ---- False
01010100	---84	---0 	 ---- False
01010101	---85	---1 	 ---- True
01010110	---86	---2 	 ---- False
01010111	---87	---0 	 ---- False
01011000	---88	---1 	 ---- True
01011001	---89	---2 	 ---- False
01011010	---90	---0 	 ---- False
01011011	---91	---1 	 ---- True
01011100	---92	---2 	 ---- False
01011101	---93	---0 	 ---- False
01011110	---94	---1 	 ---- True
01011111	---95	---2 	 ---- False
01100000	---96	---0 	 ---- False
01100001	---97	---1 	 ---- True
01100010	---98	---2 	 ---- False
01100011	---99	---0 	 ---- False
